file	agree	miss	extra
O1_rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion_stripped	0	28	26
O1_rosetta_v06_00120_Averages-Median_averages-median-1_stripped	4	14	8
O1_rosetta_v06_00014_24-game_24-game_stripped	7	39	64
O1_rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped	3	21	37
O1_rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped	3	27	15
O1_rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1_stripped	5	20	34
O1_rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped	6	9	4
O1_rosetta_v06_00043_Ackermann-function_ackermann-function-1_stripped	4	11	32
O1_rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped	9	25	99
O1_rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped	4	18	30
O1_rosetta_v06_00924_Munching-squares_munching-squares_stripped	3	22	16
O1_rosetta_v06_01059_Permutations-Derangements_permutations-derangements_stripped	3	18	82
O1_rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped	4	29	31
O1_rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month_stripped	4	12	11
O1_rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1_stripped	3	15	9
O1_rosetta_v06_01489_Tic-tac-toe_tic-tac-toe_stripped	6	20	66
O1_rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped	3	8	6
O1_rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped	2	25	21
O1_rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped	4	20	72
O1_rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped	5	22	26
O1_rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped	5	14	8
O1_rosetta_v06_01498_Topological-sort_topological-sort-1_stripped	6	22	47
O1_rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_stripped	5	16	16
O1_rosetta_v06_00262_Combinations_combinations-2_stripped	4	11	24
O1_rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped	4	18	32
O1_rosetta_v06_00141_Best-shuffle_best-shuffle-1_stripped	5	23	36
O1_rosetta_v06_00995_Ordered-words_ordered-words-3_stripped	6	23	16
O1_rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped	4	13	11
O1_rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle_stripped	0	21	14
O1_rosetta_v06_00629_Guess-the-number_guess-the-number_stripped	3	19	8
O1_rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped	0	21	10
O1_rosetta_v06_00001_100-doors_100-doors-1_stripped	3	11	10
O1_rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped	5	15	31
O1_rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1_stripped	7	9	4
O1_rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped	5	25	25
O1_rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2_stripped	2	30	10
O1_rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped	4	10	6
O1_rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers_stripped	8	28	41
O1_rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped	3	25	9
O1_rosetta_v06_00611_Gotchas_gotchas-8_stripped	0	13	6
O1_rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped	9	14	50
O1_rosetta_v06_00217_Call-an-object-method_call-an-object-method_stripped	3	14	10
O1_rosetta_v06_01039_Pells-equation_pells-equation_stripped	6	13	13
O1_rosetta_v06_00365_Descending-primes_descending-primes_stripped	2	13	22
O1_rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped	4	12	7
O1_rosetta_v06_00006_100-prisoners_100-prisoners_stripped	5	25	36
O1_rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped	4	15	9
O1_rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm_stripped	8	29	37
O1_rosetta_v06_01312_Sockets_sockets_stripped	4	22	8
O1_rosetta_v06_01396_String-comparison_string-comparison-2_stripped	7	15	13
